date,home_team,away_team,home_score,away_score,status,game_id
2025-08-29,St. Scholastica,Loras,0,0,FINAL,6476118
2025-08-29,UMass Dartmouth,Regis (MA),1,1,FINAL,6496202
2025-08-29,Roger Williams,Salve Regina,0,0,FINAL,6496205
2025-08-29,Smith,UMass Boston,0,1,FINAL,6475645
2025-08-29,Stevens,Claremont-M-S,1,1,FINAL,6496163
2025-08-29,Montclair St.,Coast Guard,2,0,FINAL,6496221
2025-08-29,Stockton,Scranton,0,1,FINAL,6496230
2025-08-29,Eastern Conn. St.,St. Joseph's (L.I.),1,1,FINAL,6474292
2025-08-29,Maryville (TN),Farmingdale St.,0,3,FINAL,6471944
2025-08-29,Lesley,Wentworth,0,0,FINAL,6476183
2025-08-29,Colby-Sawyer,Westfield St.,1,1,FINAL,6476306
2025-08-29,SUNY New Paltz,Russell Sage,4,0,FINAL,6496190
2025-08-29,Earlham,Alma,0,3,FINAL,6475867
2025-08-29,Mary Washington,Randolph-Macon,5,0,FINAL,6496191
2025-08-29,Skidmore,SUNY Brockport,1,1,FINAL,6472835
2025-08-29,Trinity Washington,Piedmont,0,12,FINAL,6473093
2025-08-29,Juniata,Geneva,0,1,FINAL,6473162
2025-08-29,Utica,Lycoming,1,2,FINAL,6473579
2025-08-29,Anna Maria,New England Col.,0,1,FINAL,6473715
2025-08-29,Martin Luther,Buena Vista,0,2,FINAL,6474903
2025-08-29,Rockford,Olivet,1,2,FINAL,6474971
2025-08-29,Marymount (VA),Shenandoah,1,0,FINAL,6475118
2025-08-29,Lewis & Clark,Wis.-Oshkosh,1,1,FINAL,6496204
2025-08-29,Buffalo St.,Keuka,5,0,FINAL,6496218
2025-08-29,Rensselaer,Suffolk,0,1,FINAL,6476552
2025-08-29,Hood,Gettysburg,1,2,FINAL,6472644
2025-08-29,Bard,Rutgers-Newark,1,0,FINAL,6473182
2025-08-29,SUNY Oneonta,Hartwick,0,0,FINAL,6473775
2025-08-29,Delaware Valley,Bryn Mawr,0,1,FINAL,6473842
2025-08-29,Rhode Island Col.,Salem St.,0,1,FINAL,6474770
2025-08-29,New Jersey City,SUNY Delhi,2,0,FINAL,6474862
2025-08-29,York (PA),Wash. & Lee,0,3,FINAL,6475096
2025-08-29,Arcadia,Haverford,1,0,FINAL,6475223
2025-08-29,Nazareth,Endicott,2,0,FINAL,6475393
2025-08-29,Valley Forge,Gwynedd Mercy,0,4,FINAL,6476529
2025-08-29,Hope,MSOE,3,0,FINAL,6476810
2025-08-29,Concordia Chicago,Elmhurst,0,4,FINAL,6477056
2025-08-29,RIT,Grove City,2,2,FINAL,6477514
2025-08-29,Mount Aloysius,Westminster (PA),1,1,FINAL,6496185
2025-08-29,Kean,King's (PA),2,1,FINAL,6496186
2025-08-29,Dominican (IL),Wheaton (IL),0,1,FINAL,6496193
2025-08-29,Plattsburgh St.,VTSU Castleton,2,1,FINAL,6496194
2025-08-29,La Roche,Thiel,4,0,FINAL,6496199
2025-08-29,St. Joseph's (ME),U New England,0,2,FINAL,6496203
2025-08-29,Emerson,Husson,4,1,FINAL,6496219
2025-08-29,Calvin,Wartburg,2,0,FINAL,6496222
2025-08-29,Minn.-Morris,Saint Mary's (MN),0,5,FINAL,6496223
2025-08-29,Union (NY),WPI,0,1,FINAL,6496227
2025-08-29,St. Mary's (MD),Neumann,3,1,FINAL,6496229
2025-08-29,Rochester (NY),Cortland,2,0,FINAL,6496237
2025-08-29,Lebanon Valley,Moravian,1,0,FINAL,6473427
2025-08-29,Bethel (MN),Northwestern-St. Paul,2,2,FINAL,6475907
2025-08-29,WashU,Westminster (MO),8,0,FINAL,6472596
2025-08-29,Agnes Scott,Berry,0,4,FINAL,6472707
2025-08-29,SUNY Poly,Marywood,0,4,FINAL,6472862
2025-08-29,St. Olaf,Wis.-Eau Claire,4,0,FINAL,6473256
2025-08-29,Rutgers-Camden,Stevenson,1,4,FINAL,6473702
2025-08-29,Wilson,Penn St.-Altoona,3,3,FINAL,6473731
2025-08-29,Batten,Saint Benedict,3,0,FINAL,6474856
2025-08-29,Adrian,Hiram,3,1,FINAL,6475509
2025-08-29,Greenville,Lake Forest,1,4,FINAL,6475718
2025-08-29,Belhaven,Centenary (LA),5,0,FINAL,6475818
2025-08-29,Nichols,Albertus Magnus,0,4,FINAL,6477248
2025-08-29,Houghton,SUNY Canton,6,0,FINAL,6477377
2025-08-29,Wis.-La Crosse,Carroll (WI),7,0,FINAL,6477382
2025-08-29,Pitt.-Bradford,SUNY Cobleskill ,3,2,FINAL,6477477
2025-08-29,UC Santa Cruz,Linfield,0,0,FINAL,6477585
2025-08-29,Wis.-Stevens Point,St. Catherine,0,3,FINAL,6477661
2025-08-29,Saint Vincent,Pitt.-Greensburg,4,0,FINAL,6477665
2025-08-29,SUNY Maritime,Brooklyn,4,2,FINAL,6496187
2025-08-29,Hanover,Trine,0,2,FINAL,6496188
2025-08-29,Marian (WI),Augustana (IL),1,0,FINAL,6496192
2025-08-29,Pfeiffer,Averett,0,2,FINAL,6496196
2025-08-29,Clarkson,Hartford,2,2,FINAL,6496197
2025-08-29,Chris. Newport,Merchant Marine,3,0,FINAL,6496200
2025-08-29,Marietta,Wittenberg,0,0,FINAL,6496233
2025-08-29,DeSales,William Smith,1,8,FINAL,6472758
2025-08-29,Manchester,DePauw,1,3,FINAL,6496285
2025-08-29,Fitchburg St.,Saint Joseph (CT),1,0,FINAL,6472583
2025-08-29,Greensboro,East. Mennonite,3,0,FINAL,6472589
2025-08-29,Augsburg,Wis.-Platteville,0,2,FINAL,6472953
2025-08-29,Catholic,Franklin & Marshall,0,2,FINAL,6473458
2025-08-29,UW-River Falls,Crown (MN),3,0,FINAL,6473846
2025-08-29,Ill. Wesleyan,Simpson,1,2,FINAL,6474370
2025-08-29,Dallas,Hardin-Simmons,1,7,FINAL,6474463
2025-08-29,Mt. St. Mary (NY),NYU,0,6,FINAL,6474671
2025-08-29,Mary Hardin-Baylor,Concordia (TX),1,0,FINAL,6475613
2025-08-29,Macalester,Carthage,1,0,FINAL,6476661
2025-08-29,Central (IA),Edgewood,1,0,FINAL,6476893
2025-08-29,Pomona-Pitzer,North Central (IL),3,0,FINAL,6477156
2025-08-29,Ozarks (AR),Howard Payne,1,5,FINAL,6477442
2025-08-29,Manhattanville,Drew,0,3,FINAL,6477607
2025-08-29,Wm. Paterson,Centenary (NJ),3,0,FINAL,6477714
2025-08-29,SUNY Geneseo,Heidelberg,1,1,FINAL,6477770
2025-08-29,Albion,Bluffton,8,1,FINAL,6496161
2025-08-29,Eureka,Monmouth (IL),0,3,FINAL,6496164
2025-08-29,Dubuque,Grinnell,0,0,FINAL,6496283
2025-08-29,Salisbury,TCNJ,1,4,FINAL,6496284
2025-08-29,Albright,Penn St.-Abington,0,0,FINAL,6520173
2025-08-29,St. Thomas (TX),Pacific Lutheran,1,1,FINAL,6474377
2025-08-29,Southwestern (TX),Puget Sound,0,2,FINAL,6474998
2025-08-29,Franklin,St. Mary's (IN),0,2,FINAL,6471939
2025-08-29,Whittier,Whitworth,1,0,FINAL,6472616
2025-08-29,SUNY Potsdam,St. Lawrence,0,0,FINAL,6473318
2025-08-29,Centre,Covenant,3,1,FINAL,6473374
2025-08-29,Penn St. Harrisburg,Dickinson,0,0,FINAL,6473508
2025-08-29,Misericordia,Susquehanna,2,0,FINAL,6474201
2025-08-29,Swarthmore,Transylvania,3,0,FINAL,6475827
2025-08-29,Widener,Washington Col.,0,1,FINAL,6475965
2025-08-29,Goucher,McDaniel,0,4,FINAL,6476113
2025-08-29,Wis. Lutheran,Ripon,2,1,FINAL,6476683
2025-08-29,Southern Me.,Rivier,5,4,FINAL,6477047
2025-08-29,Brandeis,Bridgewater St.,5,1,FINAL,6477295
2025-08-29,Muskingum,Wash. & Jeff.,0,2,FINAL,6477484
2025-08-29,Guilford,Mary Baldwin,2,0,FINAL,6495989
2025-08-29,FDU-Florham,Ramapo,0,0,FINAL,6496259
2025-08-29,UChicago,East Tex. Baptist,6,0,FINAL,6496260
2025-08-29,Allegheny,Capital,1,4,FINAL,6496261
2025-08-29,Waynesburg,Mount Union,2,1,FINAL,6496262
2025-08-29,Penn St.-Berks,Ursinus,2,3,FINAL,6496264
2025-08-29,Ithaca,Elmira,2,0,FINAL,6496265
2025-08-29,Wis.-Superior,Gustavus Adolphus,0,4,FINAL,6496266
2025-08-29,Wilmington (OH),Oberlin,1,1,FINAL,6496267
2025-08-29,Norwich,VTSU-Johnson,0,0,FINAL,6496268
2025-08-29,CWRU,Franciscan,7,0,FINAL,6473662
2025-08-29,Mt. St. Joseph,Ohio Wesleyan,2,0,FINAL,6476220
2025-08-29,Bridgewater (VA),Carnegie Mellon,1,0,FINAL,6476797
2025-08-29,Illinois Col.,Principia,1,0,FINAL,6477181
2025-08-29,Luther,Bethany Lutheran,5,1,FINAL,6496162
2025-08-29,Wis.-Stout,Hamline,1,0,FINAL,6496195
2025-08-29,Lawrence,Concordia Wisconsin,2,2,FINAL,6496258
2025-08-29,Millikin,Knox,4,0,FINAL,6496275
2025-08-29,Sewanee,Spalding,3,1,FINAL,6474080
2025-08-29,North Park,Benedictine (IL),5,1,FINAL,6477868
2025-08-29,Cal Lutheran,Fredonia,1,0,FINAL,6477763
2025-08-29,Pacific (OR),Chapman,1,2,FINAL,6474428
2025-08-30,Oswego St.,Wilkes,3,1,FINAL,6472106
2025-08-30,Lynchburg,Denison,1,0,FINAL,6472468
2025-08-30,WestConn,Emmanuel (MA),0,5,FINAL,6473343
2025-08-30,Vassar,Sarah Lawrence,2,0,FINAL,6474497
2025-08-30,Carleton,Johns Hopkins,1,1,FINAL,6474809
2025-08-30,Penn St.-Behrend,Messiah,0,3,FINAL,6475174
2025-08-30,New England Col.,Me.-Presque Isle,3,0,FINAL,6476365
2025-08-30,Bethany (WV),Kenyon,0,2,FINAL,6476500
2025-08-30,Nichols,Clark (MA),0,6,FINAL,6477561
2025-08-30,Alfred,Chatham,2,0,FINAL,6471498
2025-08-30,Millsaps,McMurry,0,1,FINAL,6471689
2025-08-30,Alfred St.,Keystone,13,0,FINAL,6472082
2025-08-30,Catholic,St. John Fisher,1,0,FINAL,6472516
2025-08-30,Neumann,Salisbury,0,4,FINAL,6472587
2025-08-30,Geneva,Baldwin Wallace,0,0,FINAL,6473167
2025-08-30,Kean,Scranton,0,4,FINAL,6473904
2025-08-30,Wellesley,Simmons,5,0,FINAL,6474236
2025-08-30,SUNY Poly,SUNY Morrisville,3,3,FINAL,6474270
2025-08-30,SUNY Oneonta,SUNY Brockport,0,3,FINAL,6475654
2025-08-30,Curry,Mass. Maritime,6,0,FINAL,6477183
2025-08-30,Kalamazoo,Beloit,4,0,FINAL,6472987
2025-08-30,John Jay,Old Westbury,2,0,FINAL,6473158
2025-08-30,Wooster,Alma,3,0,FINAL,6471657
2025-08-30,Buffalo St.,Lycoming,3,8,FINAL,6472206
2025-08-30,Colby-Sawyer,Husson,0,5,FINAL,6472212
2025-08-30,Hilbert,SUNY Canton,3,0,FINAL,6473940
2025-08-30,Roanoke,Rhodes,1,3,FINAL,6474290
2025-08-30,Framingham St.,Lasell,2,2,FINAL,6475299
2025-08-30,Muhlenberg,Coast Guard,4,2,FINAL,6477678
2025-08-30,Sewanee,Farmingdale St.,4,0,FINAL,6471946
2025-08-30,Otterbein,John Carroll,2,1,FINAL,6476623
2025-08-30,Juniata,Westminster (PA),1,0,FINAL,6471723
2025-08-30,St. Mary's (MD),TCNJ,0,0,FINAL,6472050
2025-08-30,Methodist,East. Mennonite,0,0,FINAL,6472590
2025-08-30,Penn St.-Altoona,Cedar Crest,3,0,FINAL,6473124
2025-08-30,Thomas (ME),Plymouth St.,0,3,FINAL,6474335
2025-08-30,RIT,Endicott,2,1,FINAL,6475415
2025-08-30,Cornell College,North Central (MN),6,1,FINAL,6475487
2025-08-30,Eastern,Penn St.-Abington,2,0,FINAL,6475505
2025-08-30,Nazareth,Grove City,2,0,FINAL,6476060
2025-08-30,Webster,Lake Forest,1,6,FINAL,6476636
2025-08-30,Carnegie Mellon,Wittenberg,3,0,FINAL,6475230
2025-08-30,Stockton,King's (PA),3,0,FINAL,6471420
2025-08-30,Elms,UMass Dartmouth,1,4,FINAL,6471984
2025-08-30,Calvin,MSOE,3,1,FINAL,6472291
2025-08-30,Western New Eng.,WPI,0,2,FINAL,6472891
2025-08-30,Maryville (TN),Spalding,1,0,FINAL,6474082
2025-08-30,Hope,Wartburg,3,0,FINAL,6475325
2025-08-30,Augsburg,Coe,2,0,FINAL,6472955
2025-08-30,Ozarks (AR),MUW,2,1,FINAL,6474169
2025-08-30,Gordon,MIT,0,2,FINAL,6474651
2025-08-30,Houghton,Lancaster Bible,4,0,FINAL,6476020
2025-08-30,Grinnell,Edgewood,0,1,FINAL,6476895
2025-08-30,Mount Aloysius,Waynesburg,0,4,FINAL,6471365
2025-08-30,St. Catherine,St. Norbert,1,0,FINAL,6471975
2025-08-30,Rivier,Keene St.,2,4,FINAL,6471976
2025-08-30,Marietta,Bridgewater (VA),0,2,FINAL,6472488
2025-08-30,LaGrange,Berry,0,4,FINAL,6496077
2025-08-30,Millikin,Simpson,0,0,FINAL,6475136
2025-08-30,Austin,Lyon,3,0,FINAL,6496639
2025-08-30,Aurora,Wheaton (IL),0,2,FINAL,6471627
2025-08-31,SUNY Delhi,Rutgers-Newark,1,2,FINAL,6473169
2025-08-31,Baldwin Wallace,Kenyon,0,2,FINAL,6477538
2025-08-31,St. Lawrence,Hartford,0,1,FINAL,6471877
2025-08-31,Lynchburg,Rhodes,0,0,FINAL,6473646
2025-08-31,Bard,New Jersey City,1,3,FINAL,6473960
2025-08-31,Batten,Merchant Marine,4,0,FINAL,6474230
2025-08-31,William Smith,SUNY New Paltz,3,0,FINAL,6471499
2025-08-31,FDU-Florham,UMSV,1,2,FINAL,6471530
2025-08-31,Chris. Newport,Saint Benedict,2,0,FINAL,6471957
2025-08-31,U New England,Worcester St.,1,2,FINAL,6472121
2025-08-31,Ithaca,Heidelberg,1,0,FINAL,6472207
2025-08-31,Neb. Wesleyan,Illinois Col.,4,5,FINAL,6472586
2025-08-31,Ursinus,Delaware Valley,5,0,FINAL,6472993
2025-08-31,Mary Washington,Penn St. Harrisburg,1,0,FINAL,6473515
2025-08-31,Mount Holyoke,Anna Maria,4,0,FINAL,6473722
2025-08-31,Mt. St. Mary (NY),Vassar,0,4,FINAL,6474557
2025-08-31,Swarthmore,Wash. & Lee,1,0,FINAL,6475099
2025-08-31,Emerson,Westfield St.,6,1,FINAL,6476318
2025-08-31,Wentworth,Albertus Magnus,2,1,FINAL,6476475
2025-08-31,Otterbein,Messiah,0,1,FINAL,6477154
2025-08-31,McDaniel,Rutgers-Camden,0,0,FINAL,6477221
2025-08-31,Carleton,Carthage,5,1,FINAL,6477232
2025-08-31,NYU,Claremont-M-S,0,2,FINAL,6474686
2025-08-31,Mary Hardin-Baylor,Puget Sound,1,1,FINAL,6475618
2025-08-31,Hanover,Wilmington (OH),6,0,FINAL,6471477
2025-08-31,Wooster,Earlham,3,0,FINAL,6471658
2025-08-31,CWRU,Allegheny,6,0,FINAL,6472032
2025-08-31,Stevens,Springfield,3,2,FINAL,6472308
2025-08-31,Occidental,Fredonia,3,2,FINAL,6472647
2025-08-31,Bryn Mawr,Notre Dame (MD),6,0,FINAL,6473844
2025-08-31,Hendrix,MUW,3,0,FINAL,6474171
2025-08-31,Susquehanna,Haverford,0,1,FINAL,6474203
2025-08-31,Whittier,George Fox,1,0,FINAL,6475345
2025-08-31,Widener,Transylvania,3,0,FINAL,6475967
2025-08-31,Mitchell,Yeshiva,9,1,FINAL,6476289
2025-08-31,Linfield,East Tex. Baptist,2,2,FINAL,6476980
2025-08-31,Centenary (LA),Howard Payne,0,4,FINAL,6477119
2025-08-31,Muskingum,Saint Vincent,0,3,FINAL,6477674
2025-08-31,Willamette,Wis.-Oshkosh,0,1,FINAL,6472157
2025-08-31,York (PA),Penn St.-Berks,4,0,FINAL,6472170
2025-08-31,Montclair St.,JWU (Providence),1,1,FINAL,6472287
2025-08-31,Roanoke,Denison,0,2,FINAL,6472472
2025-08-31,Cal Lutheran,Whitworth,1,1,FINAL,6472620
2025-08-31,Meredith,Piedmont,2,4,FINAL,6473095
2025-08-31,Cortland,Arcadia,1,0,FINAL,6473440
2025-08-31,Olivet,Anderson (IN),0,3,FINAL,6474973
2025-08-31,Redlands,North Central (IL),0,2,FINAL,6475458
2025-08-31,Adrian,Ohio Wesleyan,0,1,FINAL,6476222
2025-08-31,Rockford,Elmhurst,0,10,FINAL,6476336
2025-08-31,Central (IA),Wis.-Eau Claire,2,1,FINAL,6476944
2025-08-31,Trinity (TX),Pacific Lutheran,1,1,FINAL,6474832
2025-08-31,Penn St.-Behrend,John Carroll,1,1,FINAL,6476625
2025-08-31,Lakeland,Lawrence,0,5,FINAL,6477339
2025-08-31,Ripon,Marian (WI),0,5,FINAL,6471611
2025-08-31,Rensselaer,Plattsburgh St.,1,0,FINAL,6471674
2025-08-31,Rose-Hulman,Ohio Northern,0,1,FINAL,6471741
2025-08-31,Wis.-Stout,Gustavus Adolphus,1,1,FINAL,6471816
2025-08-31,UW-River Falls,St. Norbert,4,1,FINAL,6471980
2025-08-31,Hamline,Coe,3,2,FINAL,6472765
2025-08-31,Lewis & Clark,Chapman,0,3,FINAL,6473024
2025-08-31,St. Olaf,Johns Hopkins,0,3,FINAL,6473259
2025-08-31,Alfred St.,Penn College,0,2,FINAL,6473267
2025-08-31,Concordia Chicago,Wis.-Stevens Point,0,2,FINAL,6477059
2025-08-31,UC Santa Cruz,UChicago,0,1,FINAL,6471631
2025-08-31,Alvernia,Immaculata,1,1,FINAL,6471936
2025-08-31,Marywood,Goucher,10,1,FINAL,6472866
2025-08-31,Martin Luther,Wis. Lutheran,0,4,FINAL,6474925
2025-08-31,Wheaton (MA),Regis (MA),2,0,FINAL,6475940
2025-08-31,Illinois Tech,North Park,3,0,FINAL,6477072
2025-08-31,Dean,Rhode Island Col.,0,3,FINAL,6472134
2025-08-31,St. Scholastica,Luther,0,1,FINAL,6474125
2025-08-31,Washington Col.,Misericordia,0,2,FINAL,6476382
2025-08-31,Oglethorpe,Agnes Scott,4,1,FINAL,6476964
2025-09-01,Wis.-Whitewater,Bethel (MN),1,0,FINAL,6471400
2025-09-01,Capital,Trine,0,3,FINAL,6471834
2025-09-01,Keene St.,Roger Williams,1,6,FINAL,6471979
2025-09-01,La Verne,George Fox,0,0,FINAL,6475342
2025-09-01,DePauw,Greenville,2,1,FINAL,6475720
2025-09-01,Webster,Knox,2,0,FINAL,6471706
2025-09-01,N.C. Wesleyan,Piedmont,0,1,FINAL,6473097
2025-09-01,Oberlin,Pitt.-Greensburg,0,4,FINAL,6473403
2025-09-01,Mary Baldwin,Randolph,1,0,FINAL,6476888
2025-09-01,Averett,Salem (NC),3,3,FINAL,6471848
2025-09-01,Wilson,Gwynedd Mercy,1,0,FINAL,6475762
2025-09-01,Concordia (TX),Southwestern (TX),1,2,FINAL,6475000
2025-09-01,Minn.-Morris,Concordia-M'head,0,0,FINAL,6477645
2025-09-01,Saint Mary's (MN),Wis.-Platteville,2,1,FINAL,6472333
2025-09-02,Plymouth St.,Middlebury,0,7,FINAL,6471454
2025-09-02,Geneva,Alfred,0,1,FINAL,6471500
2025-09-02,Dean,Curry,1,6,FINAL,6472138
2025-09-02,Keuka,Lycoming,0,5,FINAL,6473586
2025-09-02,Hilbert,Houghton,0,4,FINAL,6473942
2025-09-02,New Jersey City,Manhattanville,4,2,FINAL,6474865
2025-09-02,Babson,Brandeis,0,0,FINAL,6476418
2025-09-02,SUNY Canton,Utica,0,7,FINAL,6476855
2025-09-02,SUNY Geneseo,Oswego St.,1,1,FINAL,6477420
2025-09-02,Hamilton,Williams,0,2,FINAL,6471564
2025-09-02,Pratt,John Jay,0,2,FINAL,6476850
2025-09-02,Wis.-La Crosse,Wis.-Superior,6,0,FINAL,6472314
2025-09-02,Union (NY),Smith,1,0,FINAL,6472371
2025-09-02,Oglethorpe,Covenant,3,1,FINAL,6473376
2025-09-02,Wentworth,MCLA,4,0,FINAL,6471894
2025-09-02,Ill. Wesleyan,WashU,0,6,FINAL,6472600
2025-09-02,Hartwick,SUNY Morrisville,3,0,FINAL,6473777
2025-09-02,Rivier,WestConn,2,2,FINAL,6476881
2025-09-02,UMass Dartmouth,Suffolk,0,1,FINAL,6471987
2025-09-02,Connecticut Col.,Emmanuel (MA),2,1,FINAL,6472188
2025-09-02,Wash. & Jeff.,Marietta,0,1,FINAL,6472491
2025-09-02,Franklin & Marshall,Elizabethtown,5,1,FINAL,6472542
2025-09-02,Amherst,WPI,1,0,FINAL,6472893
2025-09-02,Lesley,MIT,0,6,FINAL,6474940
2025-09-02,Ramapo,St. Joseph's (L.I.),2,1,FINAL,6475903
2025-09-02,Mt. St. Mary (NY),Yeshiva,20,0,FINAL,6477583
2025-09-02,Carroll (WI),Dubuque,1,1,FINAL,6471578
2025-09-02,Millikin,Monmouth (IL),6,0,FINAL,6477259
2025-09-03,Bowdoin,Thomas (ME),9,1,FINAL,6475549
2025-09-03,Russell Sage,Nichols,1,0,FINAL,6475586
2025-09-03,Concordia Chicago,Carthage,0,2,FINAL,6477061
2025-09-03,Dominican (IL),North Park,2,1,FINAL,6477870
2025-09-03,Clarkson,Plattsburgh St.,1,0,FINAL,6471676
2025-09-03,Brooklyn,Saint Elizabeth,2,0,FINAL,6471787
2025-09-03,Albright,Rowan,0,3,FINAL,6472057
2025-09-03,Westfield St.,U New England,0,1,FINAL,6472123
2025-09-03,Marywood,Lancaster Bible,0,2,FINAL,6472869
2025-09-03,Wellesley,Endicott,1,0,FINAL,6474238
2025-09-03,Western New Eng.,Springfield,2,0,FINAL,6474900
2025-09-03,Olivet,Earlham,0,5,FINAL,6474976
2025-09-03,Framingham St.,Clark (MA),0,10,FINAL,6475301
2025-09-03,Bridgewater (VA),Catholic,2,0,FINAL,6475579
2025-09-03,Goucher,Marymount (VA),0,5,FINAL,6475658
2025-09-03,Salisbury,Washington Col.,1,1,FINAL,6475985
2025-09-03,Rhode Island Col.,Salve Regina,2,0,FINAL,6477509
2025-09-03,Eastern,Rutgers-Newark,1,0,FINAL,6496443
2025-09-03,Bryn Mawr,Cedar Crest,3,0,FINAL,6473126
2025-09-03,Kenyon,Thiel,9,0,FINAL,6473510
2025-09-03,Penn St.-Abington,Gwynedd Mercy,1,0,FINAL,6476534
2025-09-03,Southern Va.,Mary Washington,1,3,FINAL,6471399
2025-09-03,Randolph-Macon,McDaniel,1,3,FINAL,6471594
2025-09-03,Marian (WI),Beloit,1,0,FINAL,6471612
2025-09-03,Wooster,Bluffton,3,0,FINAL,6471659
2025-09-03,Albion,Capital,0,1,FINAL,6471835
2025-09-03,Hood,St. Mary's (MD),0,1,FINAL,6472429
2025-09-03,Hamline,Central (IA),2,2,FINAL,6472833
2025-09-03,Oberlin,Kalamazoo,0,2,FINAL,6472989
2025-09-03,DePauw,Franklin,2,0,FINAL,6473762
2025-09-03,Lake Forest,Aurora,4,1,FINAL,6472451
2025-09-03,Minn.-Morris,Martin Luther,3,5,FINAL,6474927
2025-09-03,Edgewood,Cornell College,2,0,FINAL,6476897
2025-09-03,Bethany Lutheran,Gustavus Adolphus,0,3,FINAL,6477627
2025-09-03,Elmira,King's (PA),0,1,FINAL,6471421
2025-09-03,Waynesburg,La Roche,8,0,FINAL,6471917
2025-09-03,Stockton,Drew,1,1,FINAL,6472430
2025-09-03,Trinity (CT),Anna Maria,7,0,FINAL,6473729
2025-09-03,SUNY Poly,SUNY Potsdam,0,1,FINAL,6474122
2025-09-03,Belhaven,LeTourneau,0,0,FINAL,6475742
2025-09-03,MUW,Rhodes,0,1,FINAL,6474174
2025-09-03,Mount Aloysius,Penn College,0,0,FINAL,6471366
2025-09-03,Huntingdon,Millsaps,1,3,FINAL,6471690
2025-09-03,Guilford,Methodist,1,1,FINAL,6471912
2025-09-03,Salem St.,Keene St.,1,0,FINAL,6471990
2025-09-03,Baldwin Wallace,Allegheny,1,1,FINAL,6472035
2025-09-03,St. John Fisher,Buffalo St.,3,0,FINAL,6472210
2025-09-03,Husson,Bates,1,2,FINAL,6472216
2025-09-03,Adrian,Manchester,3,0,FINAL,6472460
2025-09-03,Norwich,VTSU Castleton,2,1,FINAL,6472514
2025-09-03,Elms,Fitchburg St.,2,1,FINAL,6472523
2025-09-03,Rochester (NY),St. Lawrence,0,0,FINAL,6472578
2025-09-03,Delaware Valley,Neumann,1,1,FINAL,6472609
2025-09-03,York (PA),Gettysburg,1,0,FINAL,6472646
2025-09-03,Emory,Berry,2,1,FINAL,6472711
2025-09-03,Wartburg,St. Olaf,0,3,FINAL,6473261
2025-09-03,Penn St. Harrisburg,Susquehanna,4,1,FINAL,6473519
2025-09-03,John Carroll,CWRU,0,6,FINAL,6473664
2025-09-03,Mount Union,Chatham,2,0,FINAL,6474011
2025-09-03,Wilmington (OH),Spalding,2,0,FINAL,6474084
2025-09-03,Alvernia,Lebanon Valley,0,1,FINAL,6474297
2025-09-03,Eastern Conn. St.,Saint Joseph (CT),4,0,FINAL,6474368
2025-09-03,Sarah Lawrence,CCNY,5,1,FINAL,6474499
2025-09-03,Regis (MA),Gordon,0,5,FINAL,6474653
2025-09-03,Albertus Magnus,Mount Holyoke,1,0,FINAL,6474758
2025-09-03,Johns Hopkins,Messiah,0,1,FINAL,6474812
2025-09-03,Shenandoah,Stevenson,1,1,FINAL,6475127
2025-09-03,Ohio Northern,Wittenberg,2,2,FINAL,6475236
2025-09-03,Muskingum,Hiram,1,0,FINAL,6475512
2025-09-03,UMass Boston,Coast Guard,4,1,FINAL,6475647
2025-09-03,Swarthmore,Rutgers-Camden,0,0,FINAL,6475831
2025-09-03,Ohio Wesleyan,Franciscan,2,1,FINAL,6476225
2025-09-03,Cairn,Centenary (NJ),2,2,FINAL,6476574
2025-09-03,Muhlenberg,DeSales,2,1,FINAL,6476600
2025-09-03,Mass. Maritime,Simmons,0,3,FINAL,6477002
2025-09-03,Worcester St.,Wheaton (MA),2,0,FINAL,6477368
2025-09-03,Augustana (IL),Illinois Col.,0,0,FINAL,6477384
2025-09-03,Bridgewater St.,JWU (Providence),2,5,FINAL,6477572
2025-09-03,Wm. Paterson,Wilkes,0,1,FINAL,6477717
2025-09-03,Kean,FDU-Florham,2,1,FINAL,6471531
2025-09-03,Misericordia,Moravian,4,0,FINAL,6473430
2025-09-03,Juniata,Dickinson,0,4,FINAL,6477460
2025-09-03,Luther,Wis.-Whitewater,1,1,FINAL,6471401
2025-09-03,Wis.-Stout,St. Catherine,1,5,FINAL,6471817
2025-09-03,St. Norbert,Wis.-Stevens Point,0,2,FINAL,6471986
2025-09-03,Illinois Tech,North Central (IL),1,0,FINAL,6477074
2025-09-03,Ripon,Lakeland,1,1,FINAL,6477342
2025-09-03,Benedictine (IL),Elmhurst,0,1,FINAL,6477643
2025-09-03,Crown (MN),Macalester,0,8,FINAL,6475426
2025-09-04,Farmingdale St.,Yeshiva,11,0,FINAL,6471948
2025-09-04,VTSU-Johnson,SUNY Potsdam,0,1,FINAL,6474133
2025-09-04,Warren Wilson,LaGrange,0,0,FINAL,6477037
2025-09-04,Rockford,Luther,0,7,FINAL,6474131
2025-09-04,Howard Payne,Concordia (TX),4,0,FINAL,6476467
2025-09-04,Hardin-Simmons,McMurry,2,0,FINAL,6475278
2025-09-04,St. Mary's (IN),North Central (MN),5,1,FINAL,6471940
2025-09-05,East Tex. Baptist,St. Thomas (TX),1,0,FINAL,6474754
2025-09-05,Oswego St.,Keuka,4,0,FINAL,6476100
2025-09-05,Carleton,Hope,3,0,FINAL,6477375
2025-09-05,La Roche,Wash. & Jeff.,0,2,FINAL,6471918
